Date,Open,High,Low,Close,Volume,Market Cap,Created_At,Sum of retweet_count,Sum of favorite_count,Avg Retweet,Avg favorite_count,Google Trends,Num_upvotes,Avg_Up_Ratio,Post_Count,Comments_Count,Dependent Variable
11/30/2017,32.54,34.98,30.09,32.96,78895100,2115360000,3,208,518,69.33333333,172.6666667,0,1681,0.938181818,15,418,1
11/29/2017,37.99,39.44,31.23,32.28,137123000,2469340000,2,318,700,159,350,83,4048,0.918461538,16,1614,0
11/28/2017,40.13,40.13,37.47,38.08,80129000,2608660000,4,281,506,70.25,126.5,83,4548,0.963181818,25,1465,0
11/27/2017,38.32,41.91,38.32,40.13,83345900,2491020000,2,216,0,108,0,83,1596,0.9475,9,294,1
11/26/2017,38.04,39.2,37.49,38.44,61597700,2472680000,1,130,325,130,325,86,1181,0.938181818,13,299,1
11/25/2017,34.83,39.86,34.6,38.13,125113000,2263690000,3,475,996,158.3333333,332,92,894,0.947777778,11,1147,1
11/24/2017,34.89,35.7,33.46,34.79,68977700,2267940000,3,223,433,74.33333333,144.3333333,89,1259,0.95875,9,241,0
11/23/2017,35.83,36.29,34.5,34.9,68917800,2329200000,3,202,308,67.33333333,102.6666667,85,1454,0.956,12,421,0
11/22/2017,34.45,36.98,34.45,35.86,82378800,2239040000,4,920,1377,230,344.25,81,1196,0.936,12,394,1
11/21/2017,36.21,37.16,33.38,34.36,133333000,2353570000,4,805,1546,201.25,386.5,86,511,0.95,5,163,0
11/20/2017,39.94,43.14,35.64,35.64,243906000,2596080000,9,2114,3509,234.8888889,389.8888889,95,816,0.922857143,7,373,0
11/19/2017,43.01,45.45,36.66,39.75,273035000,2795440000,2,222,415,111,207.5,95,1105,0.947777778,11,315,0
11/18/2017,39.74,48.09,36.28,42.74,434827000,2583010000,6,915,1630,152.5,271.6666667,100,512,0.95,4,106,1
11/17/2017,28.71,41.08,28.36,40.5,252834000,1866360000,3,493,615,164.3333333,205,88,522,0.946666667,7,194,1
11/16/2017,29.45,29.93,28.48,28.7,40895700,1913970000,0,0,0,0,0,79,960,0.904545455,11,543,0
11/15/2017,29.79,30.59,28.26,29.35,45103700,1936170000,4,264,828,66,207,81,1341,0.945,10,390,0
11/14/2017,28.4,29.96,28.1,29.73,39436300,1845750000,4,238,335,59.5,83.75,77,805,0.936666667,10,285,1
11/13/2017,27.12,28.97,26.59,28.4,41299400,1762620000,0,0,0,0,0,78,1646,0.918333333,13,310,1
11/12/2017,28.44,28.45,25.31,26.96,63588200,1848580000,0,0,0,0,0,84,1210,0.942,11,389,0
11/11/2017,28.15,29.93,27.4,28.53,45994100,1829610000,2,142,209,71,104.5,85,991,0.93625,9,204,1
11/10/2017,31.97,32.44,26.74,28.18,57756900,2078110000,1,95,182,95,182,82,615,0.955,7,145,0
11/9/2017,30.76,33.02,30.58,31.9,79919300,1999530000,1,124,251,124,251,84,1164,0.952,6,308,1
11/8/2017,26.17,33.81,26.02,30.67,120273000,1700950000,5,469,968,93.8,193.6,80,963,0.923,11,204,1
11/7/2017,26.26,26.52,25.62,26.23,40146900,1706600000,3,303,657,101,219,78,931,0.918,8,189,0
11/6/2017,26.47,26.81,25.95,26.32,26798400,1720760000,2,229,470,114.5,235,80,674,0.963333333,6,174,0
11/5/2017,26.48,26.72,25.79,26.38,25229700,1721090000,1,148,373,148,373,81,694,0.945,7,165,0
11/4/2017,26.77,27.74,25.94,26.49,31870600,1739980000,0,0,0,0,0,85,525,0.8875,5,103,0
11/3/2017,24.6,26.9,24.39,26.82,40142100,1598960000,2,92,281,46,140.5,84,423,0.904,6,160,1
11/2/2017,26.75,26.75,22.89,24.5,74455200,1738720000,4,339,606,84.75,151.5,81,554,0.945714286,8,97,0
11/1/2017,28.38,28.44,26.68,26.86,49782800,1844740000,2,123,170,61.5,85,79,218,0.956666667,4,21,0
10/31/2017,28.69,30.44,28.47,28.47,61688400,1864890000,4,359,724,89.75,181,78,629,0.926666667,5,116,0
10/30/2017,27.72,29.49,27.71,28.79,30968500,1801620000,4,603,1379,150.75,344.75,80,619,0.95,8,117,1
10/29/2017,27.2,28.61,27.2,27.76,29736500,1360230000,2,30,1,15,0.5,86,553,0.906,5,189,1
10/28/2017,28.86,28.99,27.17,27.35,25368200,1443000000,1,72,176,72,176,80,474,0.94875,8,102,0
10/27/2017,28.33,28.88,28.1,28.76,28919000,1416350000,0,0,0,0,0,81,368,0.916666667,4,636,1
10/26/2017,28.48,29.39,28.06,28.33,35987900,1423950000,4,302,763,75.5,190.75,78,609,0.9475,4,192,0
10/25/2017,30.11,30.11,28.54,28.54,35558400,1505590000,3,310,717,103.3333333,239,78,805,0.942857143,8,432,0
10/24/2017,27.34,32.72,26.73,30.15,78225600,1367240000,2,169,273,84.5,136.5,79,1065,0.935714286,8,343,1
10/23/2017,28.49,28.65,26.43,27.51,28154800,1424610000,3,237,8,79,2.666666667,77,1016,0.924285714,9,446,0
10/22/2017,27.15,29.48,27.1,28.79,36184100,1357500000,7,593,823,84.71428571,117.5714286,76,828,0.9375,8,265,1
10/21/2017,27.76,28.28,26.04,27.13,34058900,1387840000,2,135,150,67.5,75,80,1238,0.935,11,526,0
10/20/2017,28.68,29.5,27.73,27.75,36933700,1433880000,1,135,294,135,294,78,506,0.98,7,71,0
10/19/2017,29.66,29.96,28.48,28.66,30401400,1482970000,0,0,0,0,0,81,1427,0.9525,10,355,0
10/18/2017,31.66,31.78,28.44,29.67,49659700,1583190000,4,327,547,81.75,136.75,80,863,0.949090909,11,317,0
10/17/2017,28.5,32.55,27.81,31.4,74210000,1425090000,2,173,244,86.5,122,78,955,0.940833333,14,293,1
10/16/2017,27.76,29.07,26.96,28.53,34713200,1388080000,1,0,1,0,1,76,944,0.966,5,176,1
10/15/2017,27.65,28.47,26.91,27.73,31189200,1382450000,0,0,0,0,0,80,553,0.875,7,192,0
10/14/2017,29.32,29.45,27.65,27.8,33551100,1465980000,2,176,380,88,190,82,891,0.949090909,11,245,0
10/13/2017,27.85,29.87,26.45,29.35,81365000,1392660000,2,169,337,84.5,168.5,80,723,0.958333333,7,199,1
10/12/2017,30.01,30.36,27.61,28.18,61080400,1500520000,3,301,406,100.3333333,135.3333333,79,516,0.97,6,238,0
10/11/2017,29.3,31.23,29.3,29.96,33627700,1464940000,2,175,296,87.5,148,79,686,0.926,6,255,1
10/10/2017,29.15,31.2,28.07,29.31,48223600,1457270000,3,215,383,71.66666667,127.6666667,78,628,0.98,5,221,1
10/9/2017,32.04,32.79,26.78,29.1,98290300,1601800000,6,245,476,40.83333333,79.33333333,82,660,0.954,5,245,0
10/8/2017,35.64,37.23,31.01,32.07,107725000,1781810000,6,519,1031,86.5,171.8333333,88,498,0.955,7,86,0
10/7/2017,33.54,36.15,33.3,36.14,48058800,1677000000,4,591,976,147.75,244,86,350,0.9575,4,103,1
10/6/2017,32.5,34.32,32.23,33.52,47267100,1625060000,1,92,172,92,172,82,488,0.95875,8,279,1
10/5/2017,31.21,33.31,28.98,32.28,66785000,1560680000,4,392,734,98,183.5,81,850,0.957,11,427,1
10/4/2017,33.79,35.03,30.09,31.16,60565900,1689390000,0,0,0,0,0,81,665,0.948571429,8,476,0
10/3/2017,36.65,36.79,32.01,33.61,74199600,1832530000,5,297,465,59.4,93,82,870,0.935,9,555,0
10/2/2017,35.7,39.01,34.9,36.74,116098000,1785160000,1,160,313,160,313,86,282,0.93,4,83,1
10/1/2017,34.12,35.83,31.82,35.72,72169500,1705880000,4,480,648,120,162,88,163,0.9375,4,82,1
9/30/2017,28.59,34.24,28.45,34.21,82181600,1429500000,1,31,0,31,0,92,940,0.973333333,6,326,1
9/29/2017,30.25,30.41,26.13,28.64,72558300,1512530000,3,423,720,141,240,86,618,0.893333333,5,146,0
9/28/2017,31.78,32.69,27.68,29.76,101195000,1589170000,7,604,834,86.28571429,119.1428571,87,824,0.971428571,8,337,0
9/27/2017,26.32,34.03,26.32,31.79,163163000,1316040000,3,162,219,54,73,91,555,0.95,7,205,1
9/26/2017,26.12,27.3,24.46,26.38,65868600,1305990000,4,171,392,42.75,98,90,617,0.903333333,6,257,1
9/25/2017,19.8,27.08,19.8,26.02,81225500,989892000,3,660,1197,220,399,91,652,0.915,7,211,1
9/24/2017,20.17,20.43,19.28,19.79,11967200,1008660000,3,469,906,156.3333333,302,99,353,0.944,5,125,0
9/23/2017,18.58,20.59,18.3,20.18,17216800,929086000,0,0,0,0,0,100,419,0.925,6,239,1
9/22/2017,17.39,19.32,16.98,18.69,22480200,869657000,3,188,561,62.66666667,187,89,294,0.943333333,4,108,1
9/21/2017,19.65,19.82,16.75,17.45,21587400,982515000,3,222,535,74,178.3333333,78,214,0.945,2,72,0
9/20/2017,19.9,20.47,19.69,19.75,14058200,995012000,2,93,154,46.5,77,77,248,0.97,3,128,0
9/19/2017,20.99,21.71,19.04,19.94,30451900,1049420000,6,710,1149,118.3333333,191.5,75,829,0.95,7,229,0
9/18/2017,19.91,21.38,19.54,21.22,27647600,995579000,1,211,396,211,396,75,388,0.95,5,144,1
9/17/2017,20.64,20.64,18.36,19.86,18695100,1031920000,1,88,170,88,170,78,904,0.965555556,10,321,0
9/16/2017,18.75,22.98,18.5,20.76,50210000,937288000,2,91,177,45.5,88.5,81,350,0.926666667,6,131,1
9/15/2017,15.81,19.12,13.32,18.74,50811700,790612000,5,219,477,43.8,95.4,78,515,0.94,6,193,1
9/14/2017,20.08,20.75,14.95,15.69,42221500,1004180000,1,90,253,90,253,81,926,0.96,12,305,0
9/13/2017,20.83,21.29,17.8,20.06,37258400,1041450000,8,621,1273,77.625,159.125,76,735,0.92875,10,219,0
9/12/2017,21.87,23.6,19.86,20.97,40702300,1093590000,4,307,605,76.75,151.25,78,584,0.965,7,207,0
9/11/2017,22.68,23.97,21.7,21.88,27835300,1133790000,4,324,535,81,133.75,77,805,0.948571429,9,339,0
9/10/2017,21.76,23.64,19.37,22.75,54002500,1088180000,1,136,232,136,232,80,928,0.911111111,11,331,1
9/9/2017,24.63,24.63,21.55,21.96,47199500,1231580000,1,70,112,70,112,80,357,0.926666667,4,272,0
9/8/2017,30.59,30.59,22.41,24.86,112252000,1529630000,0,0,0,0,0,84,1050,0.95,9,1008,0
9/7/2017,21.3,33.55,20.54,30.78,214001000,1065110000,5,1751,1352,350.2,270.4,88,923,0.928888889,10,344,1
9/6/2017,22.97,24.32,20.3,21.36,77746300,1148320000,4,544,1060,136,265,82,748,0.946666667,7,198,0
9/5/2017,21.88,23.85,18.93,22.8,91402300,1093860000,6,718,1344,119.6666667,224,83,783,0.948333333,8,248,1
9/4/2017,30.44,30.44,17.4,21.83,189917000,1522090000,2,261,137,130.5,68.5,91,414,0.95,5,169,0
9/3/2017,31.77,32.65,28.58,30.32,43232300,1588690000,3,32,66,10.66666667,22,85,736,0.923333333,6,199,0
9/2/2017,31.69,34.81,28.55,31.72,92722600,1584390000,2,233,537,116.5,268.5,87,250,0.94,4,185,0
9/1/2017,33.17,33.57,28.87,32.01,75418900,1658680000,7,122,169,17.42857143,24.14285714,71,705,0.958333333,8,217,0
8/31/2017,32.93,35.09,32.6,33.16,49957300,1646720000,2,39,0,19.5,0,68,533,0.935714286,7,256,1
8/30/2017,33.48,35.84,29.71,33.1,97289600,1673910000,6,524,780,87.33333333,130,70,835,0.965714286,9,461,0
8/29/2017,38.46,38.46,30.69,33.66,168534000,1922840000,12,273,188,22.75,15.66666667,69,532,0.94125,8,347,0
8/28/2017,40.23,40.31,37.38,38.45,41401000,2011600000,3,171,208,57,69.33333333,66,600,0.921428571,9,328,0
8/27/2017,38.58,41.23,37.42,40.09,50649600,1928770000,1,188,341,188,341,66,436,0.9425,5,373,1
8/26/2017,40.31,40.52,37.7,38.59,41017800,2015360000,7,329,640,47,91.42857143,69,531,0.945,4,185,0
8/25/2017,41.96,42.26,39.78,40.3,47772200,2098230000,6,246,452,41,75.33333333,69,208,0.97,3,144,0
8/24/2017,39.92,42.13,39.31,42.05,63875500,1996230000,15,793,772,52.86666667,51.46666667,67,351,0.953333333,3,109,1
8/23/2017,35.83,44.03,35.25,40,131763000,1791670000,3,78,186,26,62,70,583,0.926666667,7,449,1
8/22/2017,35.16,36.17,31.6,35.85,68265300,1758180000,4,232,423,58,105.75,70,120,0.98,2,184,1
8/21/2017,38.04,38.28,34.15,35.3,85955000,1902060000,5,477,851,95.4,170.2,72,141,0.92,2,38,0
